epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,7.06801,2.67909,4.76521,2.24661,0.00348,0.02761,0.00188,0.00046,2.19484,4.2498,2.01343,0.00063327,0.00021109,0.00063327,0.00021109,0.00063327,0.00021109,0.00063327,0.00021109
2,12.801,2.23192,4.56021,1.96759,0.01171,0.18215,0.00788,0.00454,1.74508,4.02842,1.63853,0.00129129,0.00043043,0.00129129,0.00043043,0.00129129,0.00043043,0.00129129,0.00043043
3,18.558,1.77845,4.28352,1.67041,0.01745,0.50228,0.0335,0.01763,1.33919,3.83489,1.32473,0.00194051,0.000646838,0.00194051,0.000646838,0.00194051,0.000646838,0.00194051,0.000646838
4,24.113,1.51815,3.99903,1.46783,0.01652,0.71637,0.16275,0.08646,1.20702,3.70823,1.19452,0.00258094,0.000860312,0.00258094,0.000860312,0.00258094,0.000860312,0.00258094,0.000860312
5,29.719,1.44525,3.59509,1.34535,0.8007,0.10709,0.32398,0.16931,1.19444,3.34618,1.17836,0.00321256,0.00107085,0.00321256,0.00107085,0.00321256,0.00107085,0.00321256,0.00107085
6,35.404,1.43614,3.16376,1.32681,0.53618,0.36722,0.3926,0.20479,1.25304,2.95314,1.21335,0.00322301,0.00107434,0.00322301,0.00107434,0.00322301,0.00107434,0.00322301,0.00107434
7,40.996,1.3914,2.7457,1.28982,0.63157,0.49469,0.4655,0.26755,1.24094,2.7062,1.19002,0.00320101,0.001067,0.00320101,0.001067,0.00320101,0.001067,0.00320101,0.001067
8,46.665,1.39095,2.40053,1.279,0.70115,0.59042,0.61372,0.35063,1.24358,2.04713,1.15698,0.00317902,0.00105967,0.00317902,0.00105967,0.00317902,0.00105967,0.00317902,0.00105967
9,52.296,1.35744,2.105,1.23618,0.7912,0.71461,0.81107,0.47152,1.22334,1.78139,1.15951,0.00315702,0.00105234,0.00315702,0.00105234,0.00315702,0.00105234,0.00315702,0.00105234
10,57.867,1.32684,1.88771,1.20518,0.87209,0.86235,0.92704,0.54736,1.21736,1.48841,1.15966,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501
11,63.49,1.31523,1.791,1.20811,0.94334,0.89293,0.97159,0.59507,1.19257,1.36179,1.14939,0.00311302,0.00103767,0.00311302,0.00103767,0.00311302,0.00103767,0.00311302,0.00103767
12,69.11,1.30767,1.74353,1.23022,0.97269,0.9736,0.98359,0.61595,1.15393,1.27035,1.12477,0.00309102,0.00103034,0.00309102,0.00103034,0.00309102,0.00103034,0.00309102,0.00103034
13,74.7425,1.2897,1.61728,1.18995,0.95045,0.98478,0.98298,0.62297,1.15908,1.17063,1.10699,0.00306903,0.00102301,0.00306903,0.00102301,0.00306903,0.00102301,0.00306903,0.00102301
14,80.3687,1.26178,1.52448,1.17641,0.95795,0.97873,0.98428,0.63139,1.15447,1.12985,1.11149,0.00304703,0.00101568,0.00304703,0.00101568,0.00304703,0.00101568,0.00304703,0.00101568
15,85.8717,1.28689,1.5028,1.17359,0.96706,0.97496,0.98847,0.63334,1.13651,1.09397,1.09783,0.00302503,0.00100834,0.00302503,0.00100834,0.00302503,0.00100834,0.00302503,0.00100834
16,91.3947,1.26004,1.45984,1.17254,0.95434,0.98059,0.9867,0.63281,1.11563,1.06874,1.08773,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101
17,96.9547,1.2491,1.42689,1.15833,0.96134,0.9865,0.98676,0.62904,1.13722,1.04387,1.11001,0.00298104,0.000993678,0.00298104,0.000993678,0.00298104,0.000993678,0.00298104,0.000993678
18,102.603,1.24306,1.39271,1.17823,0.9735,0.97118,0.9843,0.63759,1.09665,1.00904,1.08882,0.00295904,0.000986346,0.00295904,0.000986346,0.00295904,0.000986346,0.00295904,0.000986346
19,108.23,1.23331,1.36218,1.16355,0.97299,0.97243,0.98295,0.63001,1.11228,1.00482,1.09399,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013
20,113.88,1.23058,1.30059,1.14768,0.98173,0.97148,0.98486,0.64539,1.09968,0.96381,1.08163,0.00291504,0.000971681,0.00291504,0.000971681,0.00291504,0.000971681,0.00291504,0.000971681
21,119.45,1.25767,1.31018,1.16536,0.97325,0.98512,0.98597,0.65308,1.10185,0.96903,1.08221,0.00289304,0.000964348,0.00289304,0.000964348,0.00289304,0.000964348,0.00289304,0.000964348
22,124.985,1.21014,1.28388,1.15814,0.97768,0.98536,0.98426,0.64663,1.12216,0.93927,1.08013,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015
