epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,11.15,1.35758,2.40593,1.26994,0.62111,0.76167,0.68069,0.42263,1.22173,1.39325,1.20274,0.00109217,0.000364056,0.00109217,0.000364056,0.00109217,0.000364056,0.00109217,0.000364056
2,20.458,1.32983,1.57998,1.18138,0.73015,0.83212,0.84901,0.56174,1.1119,0.94486,1.08939,0.00218863,0.000729543,0.00218863,0.000729543,0.00218863,0.000729543,0.00218863,0.000729543
3,29.7888,1.23209,1.25799,1.13743,0.89683,0.89933,0.91625,0.61949,1.05655,0.82381,1.05652,0.00327042,0.00109014,0.00327042,0.00109014,0.00327042,0.00109014,0.00327042,0.00109014
4,38.7788,1.18833,1.1818,1.11491,0.90295,0.92053,0.92877,0.61034,1.04799,0.81425,1.03678,0.00326701,0.001089,0.00326701,0.001089,0.00326701,0.001089,0.00326701,0.001089
5,48.0127,1.18943,1.12442,1.12687,0.90742,0.94982,0.94534,0.63516,1.0517,0.78297,1.0314,0.00324501,0.00108167,0.00324501,0.00108167,0.00324501,0.00108167,0.00324501,0.00108167
6,57.1687,1.17372,1.09691,1.11333,0.94606,0.93975,0.95706,0.64663,1.0492,0.73117,1.02718,0.00322301,0.00107434,0.00322301,0.00107434,0.00322301,0.00107434,0.00322301,0.00107434
7,66.4497,1.16233,1.0603,1.09477,0.95643,0.94403,0.9627,0.66518,1.04897,0.69848,1.02261,0.00320101,0.001067,0.00320101,0.001067,0.00320101,0.001067,0.00320101,0.001067
8,75.7447,1.1548,1.03261,1.09787,0.94898,0.96014,0.96301,0.66047,1.07021,0.6796,1.02731,0.00317902,0.00105967,0.00317902,0.00105967,0.00317902,0.00105967,0.00317902,0.00105967
9,84.7708,1.16486,0.99464,1.09572,0.94902,0.96245,0.96653,0.66416,1.05318,0.67016,1.02517,0.00315702,0.00105234,0.00315702,0.00105234,0.00315702,0.00105234,0.00315702,0.00105234
10,93.8388,1.13863,0.97958,1.0965,0.95364,0.95827,0.97172,0.66593,1.04852,0.64837,1.02673,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501
11,102.888,1.14607,0.95602,1.08824,0.95753,0.96096,0.97604,0.67209,1.05455,0.64244,1.02482,0.00311302,0.00103767,0.00311302,0.00103767,0.00311302,0.00103767,0.00311302,0.00103767
12,111.942,1.13435,0.92959,1.09619,0.96606,0.96189,0.97681,0.66679,1.05654,0.61693,1.01976,0.00309102,0.00103034,0.00309102,0.00103034,0.00309102,0.00103034,0.00309102,0.00103034
13,121.515,1.15763,0.94171,1.09121,0.94971,0.96877,0.97546,0.66961,1.0519,0.61755,1.02602,0.00306903,0.00102301,0.00306903,0.00102301,0.00306903,0.00102301,0.00306903,0.00102301
14,130.727,1.15225,0.91366,1.09095,0.96604,0.96799,0.97902,0.67784,1.04286,0.60663,1.02212,0.00304703,0.00101568,0.00304703,0.00101568,0.00304703,0.00101568,0.00304703,0.00101568
15,139.767,1.1264,0.884,1.06736,0.95319,0.9751,0.97685,0.68133,1.04194,0.59651,1.01417,0.00302503,0.00100834,0.00302503,0.00100834,0.00302503,0.00100834,0.00302503,0.00100834
16,148.759,1.13136,0.88826,1.07264,0.95575,0.97072,0.97698,0.68523,1.04617,0.58818,1.0203,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101
17,157.725,1.1335,0.86959,1.0822,0.96039,0.96216,0.97555,0.6773,1.04436,0.58272,1.01915,0.00298104,0.000993678,0.00298104,0.000993678,0.00298104,0.000993678,0.00298104,0.000993678
18,166.957,1.12817,0.87468,1.08165,0.97297,0.95768,0.9744,0.67402,1.04343,0.58894,1.01285,0.00295904,0.000986346,0.00295904,0.000986346,0.00295904,0.000986346,0.00295904,0.000986346
